Date,Open,High,Low,Close,Adj Close,Volume
2023-07-20,46.070000,47.500000,45.860001,46.570000,46.570000,23085300
2023-07-21,46.549999,47.340000,46.279999,47.230000,47.230000,20176900
2023-07-24,47.060001,47.549999,46.840000,47.320000,47.320000,16669800
2023-07-25,47.200001,47.730000,46.930000,47.169998,47.169998,14188200
2023-07-26,47.049999,47.555000,46.619999,47.310001,47.310001,16666200
2023-07-27,48.000000,48.090000,46.355000,46.610001,46.610001,17992000
2023-07-28,47.139999,48.430000,46.709999,48.139999,48.139999,17154600
2023-07-31,48.849998,49.490002,48.150002,49.459999,49.459999,38736800
2023-08-01,48.669998,49.029999,46.009998,46.650002,46.650002,82097500
2023-08-02,46.055000,47.705002,45.669998,46.959999,46.959999,36303800
2023-08-03,46.220001,47.849998,45.790001,45.910000,45.910000,25248800
2023-08-04,46.000000,46.380001,45.020000,45.200001,45.200001,25639600
2023-08-07,45.009998,45.529999,44.380001,44.950001,44.950001,22122500
2023-08-08,44.500000,45.240002,44.084999,45.160000,45.160000,14742200
2023-08-09,45.250000,45.459999,43.840000,44.110001,44.110001,20113000
2023-08-10,44.130001,45.180000,44.090000,44.599998,44.599998,16908200
2023-08-11,44.000000,44.299999,43.310001,43.709999,43.709999,16172800
2023-08-14,43.500000,44.884998,42.950001,44.849998,44.849998,15828800
2023-08-15,44.700001,44.880001,44.009998,44.080002,44.080002,13404700
2023-08-16,43.980000,44.330002,43.400002,43.650002,43.650002,14980800
2023-08-17,44.180000,44.860001,43.910000,43.970001,43.970001,21326600
2023-08-18,43.270000,44.840000,43.189999,44.689999,44.689999,17132100
2023-08-21,44.980000,45.299999,44.009998,44.630001,44.630001,15362100
2023-08-22,44.939999,45.180000,44.020000,44.349998,44.349998,13599800
2023-08-23,44.000000,45.615002,44.000000,45.139999,45.139999,14625800
2023-08-24,45.240002,45.720001,44.639999,44.680000,44.680000,18129600
2023-08-25,44.709999,44.840000,43.080002,43.959999,43.959999,19132500
2023-08-28,44.110001,44.520000,43.709999,44.150002,44.150002,10424100
2023-08-29,44.209999,45.584999,44.119999,45.349998,45.349998,11335400
2023-08-30,45.349998,46.750000,45.299999,46.509998,46.509998,19869400
2023-08-31,46.689999,47.570000,46.520000,47.230000,47.230000,19263800
2023-09-01,47.509998,47.700001,46.830002,47.040001,47.040001,14607000
2023-09-05,46.869999,47.139999,46.299999,46.549999,46.549999,16461700
2023-09-06,46.340000,46.849998,45.610001,45.900002,45.900002,14262700
2023-09-07,45.500000,46.680000,45.250000,46.270000,46.270000,14972200
2023-09-08,46.340000,47.250000,46.270000,47.240002,47.240002,15956900
2023-09-11,47.740002,48.970001,47.650002,48.939999,48.939999,19007300
2023-09-12,48.340000,49.188000,47.900002,47.919998,47.919998,18809000
2023-09-13,47.509998,48.360001,47.279999,48.160000,48.160000,12691800
2023-09-14,48.630001,48.695000,47.805000,48.320000,48.320000,13068200
2023-09-15,48.189999,48.490002,47.270000,47.520000,47.520000,16125700
2023-09-18,47.299999,47.348000,46.480000,46.509998,46.509998,15025500
2023-09-19,46.400002,47.755001,46.209999,47.590000,47.590000,19180200
2023-09-20,46.865002,47.540001,46.400002,46.549999,46.549999,22582000
2023-09-21,45.790001,45.790001,43.930000,44.599998,44.599998,27865700
2023-09-22,45.160000,45.345001,44.029999,44.410000,44.410000,16158700
2023-09-25,44.139999,45.110001,44.110001,44.910000,44.910000,9175400
2023-09-26,44.500000,45.389000,44.044998,44.270000,44.270000,11283600
2023-09-27,44.509998,45.473000,44.439999,45.139999,45.139999,16835100
2023-09-28,44.919998,46.580002,44.919998,46.139999,46.139999,22199200
2023-09-29,46.750000,46.919998,45.849998,45.990002,45.990002,14237200
2023-10-02,45.570000,46.290001,45.102001,45.680000,45.680000,14976700
2023-10-03,45.360001,45.605000,44.325001,44.509998,44.509998,11033400
2023-10-04,44.790001,45.485001,44.180000,44.939999,44.939999,12476100
2023-10-05,44.840000,44.930000,43.650002,44.610001,44.610001,14518800
2023-10-06,44.060001,45.945000,44.060001,45.779999,45.779999,14754800
2023-10-09,45.150002,45.599998,44.580002,45.450001,45.450001,11422300
2023-10-10,45.750000,47.275002,45.549999,46.630001,46.630001,14538600
2023-10-11,46.900002,47.209999,46.264999,46.639999,46.639999,12985500
2023-10-12,46.540001,47.040001,45.599998,45.950001,45.950001,15983600
2023-10-13,45.820000,46.290001,42.700001,43.480000,43.480000,28195100
2023-10-16,43.764999,45.000000,43.465000,44.709999,44.709999,20447100
2023-10-17,44.410000,45.259998,44.049999,44.380001,44.380001,17337800
2023-10-18,43.900002,44.200001,42.910000,43.000000,43.000000,15388000
2023-10-19,43.020000,43.270000,42.185001,42.720001,42.720001,16090000
2023-10-20,42.720001,43.349998,42.259998,42.959999,42.959999,13941300
2023-10-23,42.529999,43.970001,42.250000,43.040001,43.040001,11277100
2023-10-24,43.500000,44.325001,43.384998,44.189999,44.189999,17566500
2023-10-25,43.299999,43.490002,42.064999,42.349998,42.349998,16495900
2023-10-26,42.139999,42.299999,40.090000,40.619999,40.619999,23465500
2023-10-27,41.209999,42.145000,40.799999,41.230000,41.230000,17098600
2023-10-30,42.009998,43.000000,42.009998,42.730000,42.730000,21292700
2023-10-31,42.820000,43.529999,42.200001,43.279999,43.279999,18414000
2023-11-01,43.250000,44.000000,42.910000,43.830002,43.830002,18989300
2023-11-02,45.349998,46.860001,45.250000,46.480000,46.480000,25816900
2023-11-03,46.919998,48.150002,46.630001,47.750000,47.750000,21946800
2023-11-06,47.939999,48.299999,47.430000,48.139999,48.139999,27843100
2023-11-07,47.000000,50.040001,46.680000,49.919998,49.919998,81365400
2023-11-08,50.040001,50.299999,48.900002,49.500000,49.500000,37726700
2023-11-09,49.299999,50.680000,49.020000,50.049999,50.049999,29962300
2023-11-10,50.009998,52.099998,49.900002,51.580002,51.580002,27228600
2023-11-13,51.169998,52.419998,50.720001,52.240002,52.240002,21026900
2023-11-14,52.900002,54.310001,52.389999,53.880001,53.880001,30621900
2023-11-15,53.919998,54.259998,53.160000,53.759998,53.759998,22419700
2023-11-16,53.500000,54.509998,53.150002,54.419998,54.419998,20810800
2023-11-17,54.130001,54.509998,54.009998,54.439999,54.439999,16119500
2023-11-20,53.830002,55.355000,53.759998,54.750000,54.750000,28511600
2023-11-21,54.230000,55.080002,53.889999,54.849998,54.849998,34115500
2023-11-22,55.099998,55.820000,54.959999,55.369999,55.369999,18459700
2023-11-24,55.150002,55.936001,55.070000,55.320000,55.320000,10696800
2023-11-27,55.470001,56.455002,55.290001,56.060001,56.060001,19101900
2023-11-28,55.980000,56.450001,55.689999,56.209999,56.209999,20457500
2023-11-29,56.490002,57.130001,56.145000,56.400002,56.400002,23496200
2023-11-30,56.610001,56.770000,55.529999,56.380001,56.380001,32769800
2023-12-01,56.669998,57.865002,56.250000,57.349998,57.349998,28162400
2023-12-04,60.009998,60.919998,58.570000,58.630001,58.630001,85417300
2023-12-05,58.009998,58.660000,57.701000,57.970001,57.970001,39170600
2023-12-06,58.369999,59.980000,58.360001,59.750000,59.750000,33835000
2023-12-07,59.669998,60.994999,59.525002,60.980000,60.980000,34410200
2023-12-08,60.509998,62.250000,60.509998,61.700001,61.700001,28844800
2023-12-11,61.529999,62.990002,60.939999,62.459999,62.459999,30389700
2023-12-12,62.064999,63.025002,61.830002,62.720001,62.720001,27144300
2023-12-13,62.709999,62.880001,61.450001,61.970001,61.970001,41661700
2023-12-14,62.009998,62.810001,60.610001,62.500000,62.500000,44818100
2023-12-15,62.160000,63.529999,61.410000,61.860001,61.860001,364231800
2023-12-18,62.009998,62.490002,61.330002,61.730000,61.730000,28614000
2023-12-19,61.880001,62.700001,61.689999,62.119999,62.119999,26813800
2023-12-20,61.490002,62.279999,60.619999,60.680000,60.680000,28286100
2023-12-21,61.240002,61.759998,60.825001,61.459999,61.459999,19999600
2023-12-22,61.700001,62.235001,61.279999,61.709999,61.709999,14709400
2023-12-26,61.709999,62.200001,61.313999,61.980000,61.980000,16077200
2023-12-27,62.000000,63.430000,62.000000,63.279999,63.279999,20806000
2023-12-28,63.450001,63.529999,62.834999,63.139999,63.139999,13795600
2023-12-29,62.360001,63.139999,61.299999,61.570000,61.570000,21602500
2024-01-02,60.730000,60.910000,57.930000,58.380001,58.380001,41978600
2024-01-03,57.480000,58.895000,57.330002,58.250000,58.250000,31800600
2024-01-04,58.250000,58.985001,57.730000,57.799999,57.799999,20370700
2024-01-05,58.110001,58.509998,57.220001,57.580002,57.580002,17875200
2024-01-08,58.090000,59.160000,57.849998,59.009998,59.009998,21213000
2024-01-09,58.500000,60.540001,58.450001,60.299999,60.299999,22319900
2024-01-10,60.279999,62.610001,60.279999,62.410000,62.410000,30788900
2024-01-11,62.990002,63.610001,61.860001,63.470001,63.470001,28888900
2024-01-12,63.200001,64.919998,63.000000,63.200001,63.200001,26367100
2024-01-16,63.000000,64.000000,62.919998,63.650002,63.650002,19511800
2024-01-17,62.950001,63.419998,61.680000,63.119999,63.119999,19971600
2024-01-18,64.000000,65.000000,63.384998,64.879997,64.879997,24149900
2024-01-19,64.900002,65.385002,64.410004,65.110001,65.110001,20332900
2024-01-22,65.440002,65.610001,64.150002,64.550003,64.550003,17851700
2024-01-23,64.500000,64.809998,63.689999,64.320000,64.320000,13619600
2024-01-24,64.000000,64.397003,63.220001,63.759998,63.759998,17238100
2024-01-25,64.279999,66.029999,63.709999,66.000000,66.000000,21963000
2024-01-26,65.650002,66.044998,65.290001,65.519997,65.519997,13099600
2024-01-29,65.599998,67.099998,65.559998,66.980003,66.980003,15902000
2024-01-30,66.900002,67.690002,66.220001,66.839996,66.839996,17562100
2024-01-31,65.699997,66.250000,64.845001,65.269997,65.269997,17026400
2024-02-01,66.120003,66.849998,65.589996,66.730003,66.730003,12504200
2024-02-02,66.980003,68.250000,66.510002,68.070000,68.070000,18642700
2024-02-05,68.239998,69.989998,67.855003,68.989998,68.989998,26079500
2024-02-06,69.059998,70.680000,68.440002,70.470001,70.470001,34464000
2024-02-07,67.595001,71.900002,67.239998,70.650002,70.650002,43367000
2024-02-08,71.930000,73.050003,71.195000,71.610001,71.610001,21618200
2024-02-09,71.430000,72.040001,69.690002,70.910004,70.910004,20858700
2024-02-12,71.000000,71.379997,68.735001,69.120003,69.120003,19554900
2024-02-13,67.894997,69.550003,66.709999,68.989998,68.989998,22857100
2024-02-14,74.599998,79.199997,74.309998,79.150002,79.150002,69846700
2024-02-15,79.000000,81.864998,78.279999,81.389999,81.389999,40330200
2024-02-16,80.550003,80.879997,78.110001,78.410004,78.410004,24442600
2024-02-20,78.230003,78.419998,75.820000,76.599998,76.599998,24203100
2024-02-21,76.320000,77.489998,75.875000,76.440002,76.440002,15102100
2024-02-22,79.589996,79.720001,77.510002,78.029999,78.029999,16766400
2024-02-23,78.500000,78.970001,77.720001,78.199997,78.199997,15648800
2024-02-26,78.279999,78.500000,77.300003,78.360001,78.360001,16617300
2024-02-27,78.639999,79.750000,77.813004,78.750000,78.750000,13707300
2024-02-28,78.599998,78.660004,77.419998,77.730003,77.730003,11853100
2024-02-29,78.349998,79.680000,77.930000,79.500000,79.500000,19405500
2024-03-01,79.500000,81.470001,79.320000,81.029999,81.029999,18520800
2024-03-04,81.940002,82.139999,80.790001,81.300003,81.300003,15989200
2024-03-05,80.830002,80.849998,77.430000,79.089996,79.089996,19761600
2024-03-06,80.169998,80.989998,78.529999,78.639999,78.639999,13734700
2024-03-07,79.400002,80.074997,78.260002,79.410004,79.410004,13873300
2024-03-08,79.940002,81.980003,78.209999,78.699997,78.699997,16409100
